# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.928024
# Diagonal elements of inverse mass matrix:
# 0.490316
-7.64401,0.991332,0.928024,1,3,0,7.87151,0.348139
-7.64401,0.946914,0.928024,1,3,0,7.81196,0.348139
-7.66401,0.997744,0.928024,2,3,0,7.66407,0.364716
-7.70689,0.978868,0.928024,2,3,0,7.78994,0.284288
-8.66315,0.861661,0.928024,2,3,0,8.92344,0.53861
-8.00235,1,0.928024,1,1,0,8.49392,0.45445
-7.91574,1,0.928024,1,1,0,8.04523,0.438697
-7.63924,1,0.928024,1,3,0,7.86266,0.339662
-7.70034,0.98507,0.928024,1,3,0,7.70474,0.382348
-8.45229,0.679155,0.928024,2,3,0,9.54222,0.516038
-7.92641,1,0.928024,1,1,0,8.31713,0.440755
-8.28252,0.89396,0.928024,1,1,0,8.32559,0.495534
-7.75343,1,0.928024,1,1,0,8.11907,0.400497
-7.65424,1,0.928024,1,3,0,7.72424,0.358014
-7.65424,0.907988,0.928024,1,3,0,8.02289,0.358014
-7.99786,0.944805,0.928024,2,3,0,8.03506,0.226066
-8.75218,0.857606,0.928024,1,1,0,8.75219,0.15827
-7.90095,0.906883,0.928024,1,3,0,9.47584,0.435778
-10.2888,0.559631,0.928024,1,3,0,10.2992,0.659786
-8.5644,1,0.928024,2,3,0,9.91937,0.171018
-8.35865,1,0.928024,1,1,0,8.63261,0.187358
-7.76728,0.870155,0.928024,2,3,0,9.52718,0.404511
-8.49392,0.893007,0.928024,2,3,0,8.50492,0.176295
-8.16935,1,0.928024,1,1,0,8.48139,0.205524
-9.02662,0.950357,0.928024,2,3,0,9.02852,0.142335
-7.99624,0.890981,0.928024,1,3,0,10.0124,0.453402
-7.78841,0.839072,0.928024,2,3,0,8.85954,0.410252
-8.86298,0.663954,0.928024,1,3,0,9.82051,0.151499
-9.65332,0.866187,0.928024,2,3,0,10.9651,0.114047
-9.27672,1,0.928024,2,3,0,9.7984,0.129919
-7.84654,0.894881,0.928024,1,3,0,10.056,0.424285
-7.84654,0.404904,0.928024,1,3,0,10.3993,0.424285
-7.67055,0.948648,0.928024,2,3,0,8.13865,0.368516
-7.68051,0.973103,0.928024,2,3,0,7.81317,0.373649
-7.97883,0.957641,0.928024,2,3,0,7.9924,0.228695
-8.81869,0.936223,0.928024,2,3,0,8.83931,0.553705
-10.5074,0.859827,0.928024,2,3,0,10.6579,0.671974
-9.63158,1,0.928024,1,1,0,10.7146,0.618541
-8.81474,1,0.928024,1,1,0,9.62379,0.553335
-8.0944,1,0.928024,1,1,0,8.64454,0.469282
-8.59113,0.951534,0.928024,2,3,0,8.66712,0.531204
-10.0747,0.633896,0.928024,1,1,0,10.1911,0.647168
-8.26386,1,0.928024,1,1,0,9.54203,0.49312
-7.79068,1,0.928024,1,1,0,8.12246,0.410845
-7.69497,1,0.928024,1,1,0,7.76724,0.380145
-7.70418,0.997249,0.928024,1,1,0,7.7191,0.383868
-7.64312,0.990403,0.928024,2,3,0,7.76209,0.346956
-7.66162,0.997846,0.928024,2,3,0,7.66219,0.304322
-7.73631,0.980551,0.928024,1,1,0,7.73634,0.275085
